Mundiales,Clasificatorias,Paises
2018,FASE GRUPO,MEXICO
2018,OCTAVOS,MEXICO
2014,FASE GRUPO,MEXICO
2014,OCTAVOS,MEXICO
2010,FASE GRUPO,MEXICO
2010,OCTAVOS,MEXICO
2006,FASE GRUPO,MEXICO
2006,OCTAVOS,MEXICO
2002,FASE GRUPO,MEXICO
2002,OCTAVOS,MEXICO
1998,FASE GRUPO,MEXICO
1998,OCTAVOS,MEXICO
1994,FASE GRUPO,MEXICO
1994,OCTAVOS,MEXICO
1990,NO CLASIFICO,MEXICO
1986,CUARTOS,MEXICO
1986,FASE GRUPO,MEXICO
1986,OCTAVOS,MEXICO
1982,NO CLASIFICO,MEXICO
